Year,Males,Females
1970,2064,324
1971,2941,461
1972,3664,640
1973,3976,780
1974,4080,953
1975,4534,1118
1976,4876,1531
1977,5349,1852
1978,6272,2447
1979,7782,3372
1980,10202,4919
1981,13218,7049
1982,15641,8924
1983,20416,12023
1984,24737,14384
1985,27208,15129
1986,25962,13805
1987,23414,11237
1988,21143,9417
1989,19159,8188
1990,17771,7388
1991,17685,7136
1992,17606,6913
1993,17528,6999
1994,17684,7053
1995,17757,6749
1996,18527,6895
1997,20372,7457
1998,22289,8263
1999,27185,10603
2000,31923,12219
2001,36462,13903
2002,41950,15483
2003,44585,14903
2004,42125,11986
2005,37905,9797
2006,34338,7826
2007,31731,6792
2008,31213,6779
2009,32414,7179
2010,35477,7589
2011,38796,8610
2012,41874,9087
2013,45320,9951
2014,48844,10742
2015,52330,12072
2016,57766,13654
