Year,Males,Females
1970,125,3
1971,155,12
1972,181,15
1973,189,9
1974,199,14
1975,221,23
1976,197,19
1977,181,15
1978,206,30
1979,213,27
1980,227,25
1981,230,21
1982,228,34
1983,225,26
1984,223,25
1985,299,45
1986,322,52
1987,380,48
1988,466,85
1989,534,93
1990,584,92
1991,669,103
1992,689,116
1993,685,125
1994,726,161
1995,743,126
1996,721,136
1997,718,140
1998,656,150
1999,648,131
2000,632,136
2001,581,171
2002,648,168
2003,709,200
2004,905,214
2005,"1,109",307
2006,"1,267",328
2007,"1,322",375
2008,"1,226",354
2009,"1,250",349
2010,"1,267",321
2011,"1,332",366
2012,"1,480",354
2013,"1,566",416
2014,"1,548",450
2015,"1,591",398
2016,"1,538",444
,,
,,
,,
,,
,,
,,
,,
