Year,Males,Females
1970,1424,164
1971,1752,225
1972,1888,225
1973,1983,293
1974,1961,338
1975,2226,377
1976,2332,466
1977,2471,567
1978,2480,575
1979,2883,764
1980,3247,971
1981,3625,1310
1982,3813,1508
1983,4379,1811
1984,5064,2037
1985,5658,2412
1986,5985,2496
1987,6726,2471
1988,6775,2639
1989,6960,2717
1990,6563,2761
1991,6980,2675
1992,7557,2796
1993,7836,2732
1994,7805,2790
1995,7729,2850
1996,7526,2987
1997,8343,3422
1998,8866,3977
1999,9978,5012
2000,11195,5716
2001,11447,5726
2002,13267,6242
2003,13868,6275
2004,13136,5280
2005,12579,4616
2006,11985,4247
2007,12516,4580
2008,13063,4844
2009,13019,4936
2010,14010,5506
2011,15132,5793
2012,16539,6243
2013,17472,7042
2014,21893,9582
2015,27788,12342
2016,32173,14382

